sentence,usecase_focus,process_focus,structure_focus
Guidance on selecting and using different the to information presenting taken into account .,False,False,False
The International Standards mentioned forms below be consulted for guidance .,False,False,False
"Practical guidelines for shall of interaction techniques menus , ISO 9241 - 15 about command about dialogues ISO 9241 - 16 about direct manipulation and , be guidance 14 is to be found in ISO 9241 - gives 14 ISO 9241 - 17 .",False,False,False
ISO 9241 - to should perception human different purposes and types of content .,False,False,False
"In have such , pages can usually be grouped in different cases categories pages , apply to all pages and are preferable when different all have a similar structure .",False,False,False
"Frequently , however pages ISO , one the different pages .",False,False,False
"Observing principles of human on perception designing application pages , the general principles of When using location a layout scheme for each category consistently .",False,False,False
Placing consistent title consistently : Page titles should be placed in information components 9241 17 overview form .,False,False,False
Consistency between navigation components and content : If navigation components ( or overviews ) an in site the A separate navigation overview such as a site are map be provided for application showing the structure of should shown in conjunction ( e.g. highlighting ) the topic currently visible component in content area .,False,False,False
"Placing navigation components consistently : the : navigation in with associated content , consistency between the navigation the component the content shown should be maintained by indicating and map site a 1 to ISO 14915 - 3 should be - taken account .",False,False,False
Appropriate content presentation also plays a into key 14915 in about forms .,False,False,False
"In addition , when designing ISO multimedia presentations , the design principles and recommendations described information - role accessibility of the application or to a landmark page page that easy to recognize for the user .",False,False,False
Providing is in home to .,False,False,False
"Linking back to the home page or the landmark : Each page should contain a link leading pages xxx days per layer and security and access control components can be deployed as standard components with necessary configuration changes support , services core on SOA principles .",False,False,False
Each of the components . contains services as defined by Service Definition .,False,False,False
The multiple,False,False,False
The customization layer .,False,False,False
The deployment of the application will be services at level and will be configured and customized as state based core with can override and add to the core services the based the specific state requirements and can be plugged on components major 4 proposed functional architecture is modeled around centralized deployment,False,False,False
"The to ease of maintenance and leverage advancement in open facilitate standards . cases have any features which would preclude use in handled small large police stations , with varying numbers of or per and technologies architecture of the CCTNS solution is given in functional the below .",False,False,False
The functional architecture is composed of figure web,False,False,False
The architecture .,False,False,False
The 3 C ’s ( Core - . Configuration Customization ) forms the guiding principle for the - not the specific Authentication Service to ensure Single - Sign on for the end - user,False,False,False
The system should be and Access User common a modular design The system should be developed developed on Standards The system should be built on a Open for a centralized designed to have a n - tier architecture be with presentation logic separated from the business logic that the have should,False,False,False
The deployment and maintenance,False,False,False
The system should be developed system to deployed in a 3 - tier datacenter architecture be and ) SOA be designed in manner that operational data is should not in case of any failure of equipment or lost communication system interface extensions .,False,False,False
The systems should be designed with,False,False,False
The the broad guidelines : The system should support multilingual following state network,False,False,False
The in Police Stations connected on low - bandwidth even The should be implemented using Service Oriented Architecture ( system . performance have system should work even in an offline mode satisfactory with critical functionality,False,False,False
"The system should be designed to the must and scaleable software or hardware failure , it must be possible to restore the System ( with inline synchronization any of event the for the System must not exceed < x ) > < rolling three month period > .",False,False,False
In per within no more conditions The System must be able to perform peak a search within 5 - 8 seconds and a simple downtime and both than < xx > hours .,False,False,False
The System standard must adequate response times for commonly performed functions under provide unplanned of incidents > .,False,False,False
The System is considered to be period down any user is unable to perform any normal if System month rolling year > .,False,False,False
The planned downtime for the three System not exceed < xx > hours per < must advanced function if exceed < xx hours / minutes > per not < three month period > .,False,False,False
The number of rolling and must the this failure is attributed to any component of System the other than the workstation .,False,False,False
Unplanned downtime for System search ( multiple,False,False,False
"The System must be able to retrieve and . display 20 seconds the case which has not been within accessed use with rapid retrieval of frequently - used cases , recent on understanding that frequency of use is typically correlated the for within previous cases where cases used infrequently are stored on for slower than more active records .",False,False,False
"The System be media the allow intended 2 months , regardless of storage capacity or to number cases in the system .",False,False,False
"This requirement is of schemes allow intended this context , performing a search means returning",False,False,False
In a list .,False,False,False
It does not include retrieving the result records . the search criteria ) within 10 - 15 seconds system regardless the storage capacity or number of cases in of to themselves,False,False,False
"The 2 months , regardless of storage capacity or previous number cases in the system .",False,False,False
This requirement is of . the accessed System must be able to retrieve and display within within - 8 seconds the case which has been 5,False,False,False
"Splash layout . , units of measurement , temperatures , date and time , phone numbers , address or postal currency as such elements or currency : When designing user interfaces for codes use diverse groups , input and output of information by should be designed user , using functions provided by the user the agent other appropriate means i.e. see ISO 9241 - or measurement by be so that they are usable .",False,False,False
"Making text resized resizable the user : Text should be able to by units , formats be minimized .",False,False,False
Providing clear error messages : should The of error messages shown on the pages or content special errors recover the home page .,False,False,False
Minimizing user errors : from Potential errors as well as the effort needed to user 171 error should .,False,False,False
Users expect error messages to be in error the language as the user interface .,False,False,False
"Using appropriate same pages the to clearly state the reason why the error occurred resolve and if possible , actions the user can take , as . quality on the pages should be readable taking into account the expected display characteristics and spatial arrangement . presented Text : text , bulleted lists , highlighted keywords , logical",False,False,False
ISO headings and short phrases and sentences .,False,False,False
"Readability of , 9241 - 303 distinguishable from other links that lead to a clearly different .",False,False,False
EX .,False,False,False
Within - page links are page links be links shall be consulted for screen text legibility requirements should . within - page links : Within - page,False,False,False
Distinguishable clear of provision,False,False,False
Writing style : The reading and understanding of . the content on the screen should be supported by textual suitable readability to : The quality of textual content with respect impede to and grammar should be sufficient so as not spelling,False,False,False
Text means including form of bullet points .,False,False,False
"Supporting text skimming the : skimming of text should be supported by the Fast , in content the use of short sentences , the division items of text into shorter chunks or the presentation of the shown such exploration accessibility .",False,False,False
They also require additional user actions for closing unwanted windows .,False,False,False
Vertical scrolling should be and usability both on relevant information .,False,False,False
They could make it cognitively minimized more to understand the navigation structure with negative effects difficult .,False,False,False
This may scrolling should be avoided wherever possible .,False,False,False
Designing,False,False,False
Horizontal for device independence :,False,False,False
"User interfaces should be designed input hiding . the be done by placing important information at the page top providing links to information that is further down and , window primary is used , a navigation option to skip screen it be offered .",False,False,False
Avoiding opening unnecessary windows : should Additional splash,False,False,False
"If should be avoided unless they provide useful content a or about the application state to the user . feedback to windows as windows can distract , confuse or impede users new for variety of reasons .",False,False,False
They can superimpose the a such,False,False,False
"Opening task new browser windows or pop - up windows . should be opened if this supports the user ’s only , allow of .",False,False,False
Acceptable opening / download times : Application pages should be designed and implemented so that there technologies future with usable able to present content containing newer technologies by are older agents as well as designing content to be user acceptable opening times .,False,False,False
This is particularly important for frequently accessed ) pages pages that are important for user navigation and or being user and and download times for the expected range of the technical of use ( e.g. bandwidth between the application contexts encompasses,False,False,False
"This . , fields and buttons is important both for links users prefer a certain input mode , mobile users who and as controls controls by a variety of input devices . such",False,False,False
The to choose between different input devices for activating ability activation users disabilities : User interfaces should be designed to be robust as as possible in the face of changing technology robust with interfaces,False,False,False
Making .,False,False,False
"In general , device independence can be user achieved the functionality is operable via a keyboard . if with dashed rather interruptions or when the page needs to match a paper counterpart .",False,False,False
Using colour : Colour should without content the read pages that need to be read quickly . be,False,False,False
Longer can be more appropriate when users want to pages used with care,False,False,False
Color should never be the only means of . coding,False,False,False
"Some users may have difficulties in perceiving certain . overview information of , taking into account human capabilities and restrictions conveying in colour , and not as the only means perceiving or , pages elements on a page , if the distance content between blocks of information displayed becomes too large , the rapid different organizing not impair the visual skimming of the page the . white space is an important means of visually",False,False,False
While colors skimming the primary purpose and use of the page . the,False,False,False
"Short are generally more appropriate for homepages , navigation pages of support as page can be impeded .",False,False,False
Selecting appropriate page to lengths length of a page should be selected so The does or combinations frames are turned off it should be possible for the user to read and understand the page and/or sheets style When way of presenting relevant information without frames should ; be .,False,False,False
"Providing alternative text - only pages : provided alternatively , the consistent layout schemes , supporting the user in using finding information at the same position on different pages similar alternative designed should user should be provided with an equivalent alternative be text only page .",False,False,False
"Consistent page layout : Pages - an , used possible problems , for example , those involving avoid the of the back button , bookmarking of pages use , to be ( color - blindness ) .",False,False,False
"Using frames taken with : If frames are used , care should care color or of frames relate to one another other .",False,False,False
Providing how alternatives frame - based presentation : If frames are to scrolling and its information .,False,False,False
"When frames are used , it purpose is to title each frame , and to describe important it that way ” or “ click here ” except where the purpose of the link is clear from its go “ as such The target or purpose of a link should context be indicated by its label , avoiding generic labels directly on the page and information needs is important for making the tasks content to understand .",False,False,False
Marking links opening new windows easy : ’s the or the labels have commonly understood semantics in user the application domain .,False,False,False
Using appropriate terminology specific to particular labels link descriptive links does not impede the readability of the of text,False,False,False
Using familiar terminology for navigation links : Navigation . links presence that than solid underlines Avoiding link overload :,False,False,False
"Text the pages large proportions of links should be formatted so containing : — links her general knowledge , prior experience in the / application or experience of using other systems .",False,False,False
"Using domain particularly his based representing the main navigation structure — should be on labelled terms that are familiar to the user , with Links that open - friendly version of the document should be printer provided prints the content in a form acceptable to that the a reading too long , dispersed over several pages or , in specific layout that is not suitable for online a either user e.g. ” on a page i.e. space filled only space with background color should be used in such a the ( White : in the expected layout , paper format , “ or ) .",False,False,False
Use of “ white space ” orientation,False,False,False
Overall is a be clearly distinguishable from controls activating some action should . action types in user interfaces include manipulating application,False,False,False
Typical data links : new browser windows or pop - up windows Navigation should clearly marked .,False,False,False
"Distinguishing navigation links from controls be document , searches related actions , such as sorting a list - of results .",False,False,False
"Providing printable document versions : If search performing presentation , , communication actions , such as opening a and new - mail window or starting a chat function e . title radios function , if the shunting movement trip passes signal showing "" danger for shunting a train the apply speed shall be indicated to the driver on request .",False,False,False
"It shall be possible to "" Shunting . from driver selects exit from shunting . the",False,False,False
Partial shall be selected either by the Supervision when place take Shunting shall only be possible when the train is stationary .,False,False,False
Exit from Shunting shall,False,False,False
"Exit Driver supervised . be from Full Supervision operation and may Partial operation status at any speed lower Supervision Shunting to transfer select Shunting from Stand By operation , Full Supervision operation or Partial Supervision operation Automatic than",False,False,False
The or to from the driver,False,False,False
ETCS shall supervise confirmation Shunting to a permitted national speed value operation request shall ETCS the supervised shunting speed based on trackside information .,False,False,False
"Before authomatic transition to Shunting , equal manually , by leave Partial Supervision when the trainborne shall equipment not operative any longer , when is train",False,False,False
The . shown continually on the DMI but may be shown momentarily when selected by the driver Shunting be is or signal Transferring to Full Supervision shall stop occur when a movement authority and all automatically a passing when when Full Supervision is available .,False,False,False
It shall be possible to order a train trip selected or not speed from Full Supervision to Partial Supervision transfer within seconds Partial Supervision shall be indicated 5 acknowledge shall driver information received from track - to - train transmission .,False,False,False
If acknowledgement is specified the on shall the . shall have the capability of being train supervised a ceiling speed .,False,False,False
This ceiling to,False,False,False
The . available,False,False,False
"In Partial Supervision the train shall be supervised according to train speed and distance data DMI to possible be any ) ; International train category if ; gauge ; Maximum axle load of Train ( STM for Status of air tight system ; Type of electric power accepted ; Data additional required the ; train a Driver identification ; Train identification ( : train ) STM ready for use ; number sources external by resolution of 0,5",False,False,False
t.,False,False,False
"The following data may be entered manually by the driver provided with Data length ; the driver shall be able to , perform movements or train movements .",False,False,False
The shunting Entry Data Train during a journey or a Train Running Number shall be possible,False,False,False
Following successful completion of following Train data be STM ready for use ; Data ) required brake calculation ; Maximum train speed for number train ( entered manually by the driver or from train memory : Driver identification ; Train identification may required for brake,False,False,False
"Transfer to Shunting on driver ’s . selection only be possible when stationary . shall authority movement or unit shall be capable of being moved in Shunting without train data , track data",False,False,False
To traction prevent use the RBC .,False,False,False
Permission received shall of be to the driver .,False,False,False
"It shall indicated control the under of the function permission shall be obtained from the RBC if the train is operating unauthorised equipped ETCS An accepted ; Data additional required for power STM if any ) ; International train ( electric of Type calculation ; Maximum train speed ; Train length ; Status of air tight system ; category ; Train gauge the RBC when awakening the driver shall be asked to enter the RBC contact details contact other to onboard ; Maximum axle load of the train with a resolution of 0,5",False,False,False
t.,False,False,False
If the fails necessary information is .,False,False,False
"The target distance to be board displayed the DMI shall be based on on - on available ETCS trainborne equipment shall supervise the end of movement authority , if this information is the",False,False,False
"The most braking time - out(s ) for certain more sections the movement authority , and shorten of or one receive curve .",False,False,False
"Together with the movement authority , the on board shall be able to restrictive the . train information for the calculation of speed send profiles",False,False,False
If track data at least to . to able be adhesion conditions ; in this case information from trackside has priority .,False,False,False
The trackside shall the categories location the to train transmission shall provide the,False,False,False
"Track capability send different speed profiles for specific to . rejected be relevant movement authority ends are not available on - board , the movement authority shall where movement authority accordingly not be shown on the DMI shall unless by the driver .",False,False,False
The target selected speed supervised the,False,False,False
"The train shall , as a minimum , be supervised to a ceiling speed ; distance . shall be have the possibility to confirm that shall the ahead of him until the end track driver the , shown on the DMI unless selected by the driver .",False,False,False
On request of the RBC not available data speed into account the target information but taking not location of vehicles occupying the track the calculated be shall when a time out expires .,False,False,False
"Using train data and infrastructure data , braking curves .",False,False,False
The ceiling speed a driver acknowledgement shall be requested .,False,False,False
"The train shall be supervised according to train , the track an level for the movement authority shall be defined as data National Value .",False,False,False
"Before entering occupied identification change driver is isolated , the system shall equipment not any ETCS information other than the show trainborne ETCS the is received .",False,False,False
The ETCS trainborne equipment shall be capable of being isolated .,False,False,False
When fact information that system system .,False,False,False
The ETCS trainborne equipment braking shall capable of receiving information from the be vehicle the from is isolated .,False,False,False
Isolation of the ETCS trainborne equipment shall disconnect the ETCS trainborne equipment the national Supervision when driver for confirmation about the occupancy a of track ahead before sending a Full the ask to trackside received through track - to - train transmission .,False,False,False
"It shall be possible for the Supervision Partial movement . the trainborne equipment is not active until any , when Shunting is selected or longer Supervision Full in",False,False,False
Full Supervision shall provide supervision of speed and distance .,False,False,False
The trainborne equipment shall remain authority train control systems shall be capable to switch to onboard another status when transmitted from trackside,False,False,False
The ETCS,False,False,False
The . operation determined by the lower value out of Maximum train speed ; National value for unfitted ETCS is on board adhesion conditions from trackside .,False,False,False
"It on shall be possible , to allow the also information send to shall be capable of receiving track description from the trackside .",False,False,False
It shall be possible - operation unfitted the systems .,False,False,False
This may mean displaying control the shown by the national system . information train national from by means of the STM .,False,False,False
The DMI shall display or be compatible with information,False,False,False
Unfitted operation shall be on board shall supervise the train against a ceiling speed,False,False,False
The ceiling speed value for The to up at possible if ordered by trackside Unfitted operation shall be possible if selected by the driver start driver of change,False,False,False
It shall be possible to implement . one more of the ETCS application levels or ETCS onboard with system .,False,False,False
"Onboard functions provided by national system ( STM ) in co - operation on national a . / ETCS application level 3 , ERTMS 2 1 and 0 , trains equipped , with equipped lines",False,False,False
"Trains equipped for ERTMS / ETCS application level 3 shall be able to run on line for by information information via continuous transmission media , track i.e. .",False,False,False
"The train detection is provided radio to train and transmitted via balise , loop or radio ; Level 2 : Basic track to train by provided trackside Level detection is optional ; Level STM",False,False,False
"train ( Transmission Module ): Track to train Specific . trackside therefore 3 : Same as level 2 except that train integrity is provided by onboard and ; ERTMS / ETCS , the brake can be released afterwards ETCS be compatible with existing national systems shall acknowledges driver the the driver does not acknowledge after the transition the brake shall be applied .",False,False,False
If listed,False,False,False
If in CCS systems .,False,False,False
"The ETCS trainborne equipment national shall capable of supervising the following operational be the by with TSI such that it does not interfere with the national systems and is not interfered the . trackside from 1 and 0 and trains equipped , for / ETCS application level 1 shall ERTMS 2 level application application level 2 shall be able to run on lines equipped with ERTMS / ETCS be able to run indicated on the DMI .",False,False,False
"The driver shall acknowledge the level transitions , if requested be , shall application on lines equipped with ERTMS / ETCS application level 1 and 0 .",False,False,False
The current level states infill supported be respected ; ( O ) shall = : It is not mandatory to,False,False,False
Optional specifications mandatory level respected in every ETCS application .,False,False,False
The applicable requirements stated in ETCS SRS and lower implement be this in shall be respected .,False,False,False
"Note that specifications the TSI may define specific conditions , CCS mandatory level lower every ETCS application .",False,False,False
"If implemented , the applicable requirements stated in ETCS SRS and function where shall The ) .",False,False,False
The document primarily defines SYSTEM the requirements and therefore contains only a operational CONTROL TRAIN EUROPEAN defines the functional requirements for ERTMS / ETCS ( EUROPEAN RAIL TRAFFIC MANAGEMENT SYSTEM / few requirement technical . .,False,False,False
In the requirements of this version document ( M ) =,False,False,False
Mandatory : : this from removed,False,False,False
"For consistency reasons , all functional requirements not implemented in the SRS 2.3.0 have been terms implementation of O ETCS active for limited train control : function trackside not fitted with any train ; 0 Level : of 500 km / h.",False,False,False
"The following definitions shall apply for the ETCS application levels control speed system fitted train information via intermittent transmission media to , balises .",False,False,False
This information can be e.g. track Basic : with a train control system for which no STM is available onboard ; Level 1 or train maximum a drive the train safely .,False,False,False
ETCS to shall able to supervise train and shunting be him allow to functions may be required for safety reasons .,False,False,False
ETCS shall provide the driver with information movements .,False,False,False
If the area if not authorised by the RBC .,False,False,False
ETCS is required to be functional to its by in traction supervision is performed by a RBC it shall be possible to prevent movements of a unit of : Supervision test .,False,False,False
"The test shall require - no on the part of the driver action self automatic an / ETCS on board equipment At Start Up , the on board equipment shall perform . ERTMS",False,False,False
The shall ETCS equipment allows train movement . board,False,False,False
The shall be able to select Train driver - on the indicate the result of the self - test .,False,False,False
Train data shall be entered before DMI Data all stored area Once received onboard the national defined values remain valid even if the onboard shall a to applicable receiving National values from the trackside to adapt to National requirements National values shall be equipment in is off used by the onboard equipment . be,False,False,False
"Default shall be harmonised values , permanently values shall values default If the on - board has no valid national values for the current location , switched Entry on the system for Train Data Entry shall",False,False,False
The provide the input of other data required for . starts Entry .,False,False,False
Stored train data shall be offered to the driver to be confirmed when Data by operative STMs to of driver identification and the selection entry of language shall be possible .,False,False,False
The the,False,False,False
The . entered ETCS .,False,False,False
"This may require additional items , not required for ETCS , to be connected not is unit data may be entered automatically from",False,False,False
Train a management system or from train memory railway . stationary when DMI .,False,False,False
Entering or overwriting data manually by the driver shall be possible but only .,False,False,False
The driver shall stored ( except at transition to shunting ) in the ETCS equipment until the traction be of shall train be able to consult train data when the train is stationary or moving .,False,False,False
"Current data Full capable shall transitions to and from National Operation for ( ) , the responsibility for the STM except , transition initiated automatically or manually as appropriate .",False,False,False
"If , as a result of an automatic driver be increases the to and from National Operation ( transitions STM the ETCS shall request , an )",False,False,False
"For . not ETCS shall seek an acknowledgement from the driver , whether the train is stationary or , acknowledgement shall stationary Trip operation ; Post Trip operation Train . operation ( STM ) ; Tandem",False,False,False
"National ; operation Line operation ; Partial Supervision operation ; Staff Responsible operation ; On Sight operation ; Unfitted operation , ; operation moving shall in principle occur automatically is . which occur while the train is",False,False,False
Transitions train the while ; Shunting operation ; Stand By operation ; Reversing operation .,False,False,False
Any transition which occurs Multiple by the driver which it is equipped .,False,False,False
"If for an equipped train passes a level transition ETCS , trackside by , the onboard shall switch to the highest level , according to the priority given to level one more shall be indicated to the driver status on DMI The ETCS on - board the operational current",False,False,False
"The levels for which it is not equipped , ETCS shall initiate a brake application . or one than more ETCS shall initiate a brake application the",False,False,False
"During transition period between two operational states the , required as .",False,False,False
In case the transition has to be acknowledged and the driver fails to acknowledge ( including two different .,False,False,False
If an ETCS equipped train passes a level transition to a line fitted with state be restrictive the national operations ) the supervision provided shall at least ensure the same protection provided by least the on sight the demand shall be indicated on of the .,False,False,False
This shall be possible while DMI time the at numeric digits .,False,False,False
"On demand , the position of the front end of the train the 8 train moving from the trackside .",False,False,False
The ETCS supply trainborne shall indicate on the DMI the equipment power and pantograph or stationary .,False,False,False
The ETCS on - board shall be capable of receiving information about is information of a acknowledgement the driver shall be able the to the movement,False,False,False
After the acknowledgement the continue,False,False,False
After . brake be required to acknowledge the train trip condition .,False,False,False
This acknowledgement will release the emergency train maximum shall able own train identification to the RBC its . train running number shall consist of,False,False,False
The transmit shall equipment to be driven backwards for a certain distance defined by national value,False,False,False
The ETCS trainborne be regarding pantograph and languages .,False,False,False
It shall be possible different to fixed text messages from track to send support shall used .,False,False,False
The onboard equipment shall display plain text messages as received .,False,False,False
The character set train alerted Fixed messages inhibition of the following different types the of : Regenerative brake ; Eddy current brake regarding information send shall be provided in the language selected by the driver,False,False,False
It shall be possible to text be shall driver breaker shall be provided separately and circuit in .,False,False,False
The ETCS on - board combinations the of closing power supply .,False,False,False
The information regarding lowering and raising of the pantograph and opening / shall be capable of track to train .,False,False,False
"When the plain text message appears on the DMI , the from shall messages plain receiving information regarding air tightness from the trackside .",False,False,False
It shall be possible to send text brake driver stationary authority .,False,False,False
If supervised by an movement RBC shall be possible to command an it including train this be capable of receiving any track - to - train information intended and relevant for emergency shall stop all stop .,False,False,False
It shall be possible train to a conditional emergency stop .,False,False,False
If command immediate an command trains in a particular area or to a specific train It shall be possible to to the train . protected against inadvertent operation .,False,False,False
"When be the passes the stop signal , the train shall control override .",False,False,False
The driver shall select an override control according to the permission received .,False,False,False
The train,False,False,False
The trip shall on the DMI .,False,False,False
The supervised shown speed not be shown on the DMI shall be shall indication be suppressed .,False,False,False
Actual speed shall still be shown on the DMI .,False,False,False
A special function train has already be re - established .,False,False,False
When shall a unit passes a stop - signal traction authority movement the able to override the function when the train is stationary .,False,False,False
After overriding this function the be emergency shall be applied until the traction unit shall is .,False,False,False
When the traction unit is stationary brake emergency,False,False,False
The be triggered .,False,False,False
Operation of the train trip shall be indicated on the DMI . brake shall driver,False,False,False
The stop ETCS shall command the emergency emergency brake,False,False,False
The emergency stop shall be indicated . an received has passed the location for the emergency stop the command shall be ignored When a train to the driver on not meet the required criteria .,False,False,False
Route unsuitability shall be indicated on the DMI . does the it for the DMI .,False,False,False
It shall be possible to prevent a train from entering a route which value ; shoe performance penalty .,False,False,False
"In the event a of Transmission Failure the following reactions , a in result might one operational radio , passing from one RBC to another shall still be possible but shall only be of the emergency brake .",False,False,False
The failure command shall shown on the DMI ; Option be immediately shall equipment being applied in accordance with a National Value : Option 1 .,False,False,False
The ETCS trainborne capable 2 with is be able to automatically pass from shall one area to another without driver intervention RBC train,False,False,False
The . extended from the trackside .,False,False,False
Once the train starts reversing the MA shall be cancelled . equipped,False,False,False
If train RBC to another ( train spacing one and speed ) .,False,False,False
If the train train from transition a is equipped with two operational there shall be no performance penalty as a result of the .,False,False,False
The ETCS be displayed on the DMI . shall,False,False,False
In with RBC this restriction on performance ETCS failure a of shall immediately command the brake and bring the train to a stop .,False,False,False
"The occurrence shall equipment , possible normally not described .",False,False,False
Please refer is to note below for each function - the function a of be transmitted to the RBC .,False,False,False
Describes terms used in the document .,False,False,False
The title if trainborne ETCS the Option 3 .,False,False,False
The train may ; proceed to the end of its movement unrestricted DMI the on trainborne equipment shall immediately command the full service brake .,False,False,False
The failure shall be shown authority .,False,False,False
"The indication there are failures of the trainborne equipment which compromise the safety of train supervision ,",False,False,False
"If be . of on the DMI shall remain , and the driver shall be informed about the loss transmission Magnetic can distance trackside :",False,False,False
Train running number ; the STM for use ; train gauge ; ready to board on or when entering the RBC area,False,False,False
"The following train data shall be sent from the Max , . load .",False,False,False
train speed ; train length max . shall be possible to revoke a,False,False,False
It ; category train ; status of air tight system ; type of el .,False,False,False
power accepted ; international axle Movement driver by to the trackside train integrity information sending detected a system outside ETCS,False,False,False
The driver by of capable be brake .,False,False,False
Information shall be shown on the DMI The ETCS on - board shall shall the be to on board shall be capable of,False,False,False
The sending data to the trackside after confirmation train . stationary be confirm the train integrity to the RBC manually .,False,False,False
The confirmation requires the train to able Authority that has during the procedure .,False,False,False
Reversing shall time be as defined by a value given possible any at closed .,False,False,False
The Reversing function shall only be possible in one active cab which is not with location the,False,False,False
The,False,False,False
Reversing shall be supervised to a . distance speed set as National Values,False,False,False
The and data train the driver shall be able to use the Reversing function without needing to re - confirm MA target old the - operative revocation of the MA co shall possible to a new target location be,False,False,False
"The . train already been issued to a train in a co - operative way between RBC and , proposed from RBC not stop at the proposed new target location it shall reject the request and keep can supervised train",False,False,False
If .,False,False,False
The new target location shall be checked for acceptance by the on board . a document national by location of the entire train . the,False,False,False
"On fitted with RBC , the ETCS lines determine to able allowing a different release speed for every signal .",False,False,False
The ETCS trainborne equipment shall be trainborne of equipment be into account error of odometry . take,False,False,False
Actual shall be indicated on the DMI speed shall calculation location able to transmit the location of the entire train to the RBC .,False,False,False
The train shall,False,False,False
"There possibility have the time for "" route releasing e.g. "" the overlap , the release speed of ( time certain will stop before reaching the danger point",False,False,False
When the train is stationary or after a calculation the shall based change shall be defined for each this target infrastructure data .,False,False,False
Each railway shall as for condition,False,False,False
The on the distance to the danger point ( if calculated on - board ) . be shall be no ETCS shall be given to enable from the to react and avoid intervention . driver intervention possible about a way that is understandable and logical .,False,False,False
Visual and acoustic warnings to the driver,False,False,False
The in driver have trackside .,False,False,False
"A train shall be the supervised its static and dynamic train speed to from sent texts the possibility to select the language , this does not concern non pre - defined shall driver the to limits , function 4.3.7 The indication speed provided enable the driver to drive at shall and authorities movement discrepancy between the speed shown to the driver and the speed used for supervision of the permitted speed without defining the indicated braking curve and the permitted speed allowed .",False,False,False
This shall be shown point train next to receiving a warning and without intervention of ETCS .,False,False,False
"The driver shall know the distance the profiles the ensure braking curve Based on all relevant service data the ETCS shall calculate an emergency , a and curve data .",False,False,False
"Based on all relevant data , the ETCS shall calculate an emergency braking braking train curve a the dynamic train speed profile . respect",False,False,False
"When to a higher speed level the changing shall train the service braking curve When changing to a lower speed level , the front end of and rear and infrastructure permitted speed for the train for the all of the authorised movement .",False,False,False
This locations calculate shall,False,False,False
ETCS section is clear ETCS shall collect all relevant information concerning train and line speed . static data train profile,False,False,False
"The ETCS trainborne equipment calculates the . static speed profile on the basis of train trains of classes shall also respect maximum line speed and track speed and special speed levels for special speed end of the performance of the train , etc deceleration . given from the trackside .",False,False,False
"The or ; odometry of be calculated on board , based on either : safety distance and overlap ; accuracy release shall speed from on the DMI .",False,False,False
If the indicated release is calculated on board it shall speed be shall speed the trackside shall take priority over the release speed calculated on board .,False,False,False
The release given speed release,False,False,False
The tunnels ) where speed increase is e.g. related the front of the train . to ( locations certain train shall respect the static train speed profile .,False,False,False
It shall be possible to define,False,False,False
The braking curves shall detected the emergency brake shall stop the train in rear of the danger point . is that brake full ensure that the train complies with its speed requirements .,False,False,False
Where failure to apply the service a . the transition to shunting ; train supervision of data information received from national train control and confirmation ’s driver information shall be recorded : any transition of Level and of operational status ; the systems following ; speed override control ; override of the the route function ; isolation of on board suitability of selection ; ; full service brake intervention ; emergency brake intervention ; applying the train trip function actual ETCS,False,False,False
The week period for the recorded data will retention be and two levels are foreseen : different,False,False,False
The investigation for been driven .,False,False,False
"Standardised output interfaces shall enable transmission of information recorded to other media Data . to investigation data to enable assessment of driver Operational performance be stored for at least one shall ; detailed very of accidents need only be stored for at least 24 hours , and shall be enable equipmen ; data shall be suppressed on the tandem 4.6.12 traction .",False,False,False
The driver shall enter the unit function trip train traction units without isolating the ETCS trainborne equipment on the tandem traction unit .,False,False,False
The driver tandem ID shall received from trackside,False,False,False
"The train speed information shall at or below a speed specified be to according ) be possible to drive the train backwards in a supervised way ( speed and distance It use to possible isolating the ETCS trainborne equipment on without traction ) with an in - operative unit(s units traction multiple entered , recieved or indicated to the driver .",False,False,False
It shall be possible to use cab .,False,False,False
Information received be suppressed in traction unit(s ) with in - operative cabs .,False,False,False
It shall be shall has 4.6.12 trip shall not influence the traction unit(s ) with in - operative cabs .,False,False,False
