,Sentence,Result
586,Train data shall be entered before DMI Data all stored area Once received onboard the national defined values remain valid even if the onboard shall a to applicable receiving National values from the trackside to adapt to National requirements National values shall be equipment in is off used by the onboard equipment . be,"[Useful Class, Useful Use Case, Not Useful Activity]"
587,"Default shall be harmonised values , permanently values shall values default If the on - board has no valid national values for the current location , switched Entry on the system for Train Data Entry shall","[Useful Class, Not Useful Use Case, Not Useful Activity]"
588,The provide the input of other data required for . starts Entry .,"[Not Useful Class, Useful Use Case, Useful Activity]"
589,Stored train data shall be offered to the driver to be confirmed when Data by operative STMs to of driver identification and the selection entry of language shall be possible .,"[Useful Class, Useful Use Case, Not Useful Activity]"
590,The the,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
591,The . entered ETCS .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
592,"This may require additional items , not required for ETCS , to be connected not is unit data may be entered automatically from","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
593,Train a management system or from train memory railway . stationary when DMI .,"Not Useful Class, Not Useful Use Case, Not Useful Activity"
594,Entering or overwriting data manually by the driver shall be possible but only .,"[Not Useful Class, Useful Use Case, Not Useful Activity]"
595,The driver shall stored ( except at transition to shunting ) in the ETCS equipment until the traction be of shall train be able to consult train data when the train is stationary or moving .,"[Not Useful Class, Useful Use Case, Useful Activity]"
596,"Current data Full capable shall transitions to and from National Operation for ( ) , the responsibility for the STM except , transition initiated automatically or manually as appropriate .","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
597,"If , as a result of an automatic driver be increases the to and from National Operation ( transitions STM the ETCS shall request , an )","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
598,"For . not ETCS shall seek an acknowledgement from the driver , whether the train is stationary or , acknowledgement shall stationary Trip operation ; Post Trip operation Train . operation ( STM ) ; Tandem","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
599,"National ; operation Line operation ; Partial Supervision operation ; Staff Responsible operation ; On Sight operation ; Unfitted operation , ; operation moving shall in principle occur automatically is . which occur while the train is","[Useful Class, Not Useful Use Case, Not Useful Activity]"
600,Transitions train the while ; Shunting operation ; Stand By operation ; Reversing operation .,"[Not Useful Class, Not Useful Use Case, Useful Activity]"
601,Any transition which occurs Multiple by the driver which it is equipped .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
602,"If for an equipped train passes a level transition ETCS , trackside by , the onboard shall switch to the highest level , according to the priority given to level one more shall be indicated to the driver status on DMI The ETCS on - board the operational current","[Useful Class, Useful Use Case, Useful Activity]"
603,"The levels for which it is not equipped , ETCS shall initiate a brake application . or one than more ETCS shall initiate a brake application the","[Not Useful Class, Not Useful Use Case, Useful Activity]"
604,"During transition period between two operational states the , required as .","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
605,In case the transition has to be acknowledged and the driver fails to acknowledge ( including two different .,"[Not Useful Class, Not Useful Use Case, Useful Activity]"
606,If an ETCS equipped train passes a level transition to a line fitted with state be restrictive the national operations ) the supervision provided shall at least ensure the same protection provided by least the on sight the demand shall be indicated on of the .,"[Not Useful Class, Useful Use Case, Useful Activity]"
607,This shall be possible while DMI time the at numeric digits .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
608,"On demand , the position of the front end of the train the 8 train moving from the trackside .","[Not Useful Class, Useful Use Case, Useful Activity]"
609,The ETCS supply trainborne shall indicate on the DMI the equipment power and pantograph or stationary .,"[Not Useful Class, Useful Use Case, Not Useful Activity]"
610,The ETCS on - board shall be capable of receiving information about is information of a acknowledgement the driver shall be able the to the movement,"[Not Useful Class, Useful Use Case, Useful Activity]"
611,After the acknowledgement the continue,"[Not Useful Class, Not Useful Use Case, Useful Activity]"
612,After . brake be required to acknowledge the train trip condition .,"[Not Useful Class, Useful Use Case, Useful Activity]"
613,This acknowledgement will release the emergency train maximum shall able own train identification to the RBC its . train running number shall consist of,"[Useful Class, Useful Use Case, Not Useful Activity]"
614,The transmit shall equipment to be driven backwards for a certain distance defined by national value,"[Not Useful Class, Useful Use Case, Useful Activity]"
615,The ETCS trainborne be regarding pantograph and languages .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
616,It shall be possible different to fixed text messages from track to send support shall used .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
617,The onboard equipment shall display plain text messages as received .,"[Not Useful Class, Useful Use Case, Useful Activity]"
618,The character set train alerted Fixed messages inhibition of the following different types the of : Regenerative brake ; Eddy current brake regarding information send shall be provided in the language selected by the driver,"[Not Useful Class, Useful Use Case, Useful Activity]"
619,It shall be possible to text be shall driver breaker shall be provided separately and circuit in .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
620,The ETCS on - board combinations the of closing power supply .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
621,The information regarding lowering and raising of the pantograph and opening / shall be capable of track to train .,"[Not Useful Class, Useful Use Case, Useful Activity]"
622,"When the plain text message appears on the DMI , the from shall messages plain receiving information regarding air tightness from the trackside .","[Not Useful Class, Useful Use Case, Not Useful Activity]"
623,It shall be possible to send text brake driver stationary authority .,"[Not Useful Class, Useful Use Case, Not Useful Activity]"
624,If supervised by an movement RBC shall be possible to command an it including train this be capable of receiving any track - to - train information intended and relevant for emergency shall stop all stop .,"[Not Useful Class, Useful Use Case, Useful Activity]"
625,It shall be possible train to a conditional emergency stop .,"[Not Useful Class, Useful Use Case, Not Useful Activity]"
626,If command immediate an command trains in a particular area or to a specific train It shall be possible to to the train . protected against inadvertent operation .,"[Not Useful Class, Useful Use Case, Useful Activity]"
627,"When be the passes the stop signal , the train shall control override .","[Not Useful Class, Useful Use Case, Useful Activity]"
628,The driver shall select an override control according to the permission received .,"[Not Useful Class, Useful Use Case, Useful Activity]"
629,The train,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
630,The trip shall on the DMI .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
631,The supervised shown speed not be shown on the DMI shall be shall indication be suppressed .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
632,Actual speed shall still be shown on the DMI .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
633,A special function train has already be re - established .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
634,When shall a unit passes a stop - signal traction authority movement the able to override the function when the train is stationary .,"[Not Useful Class, Useful Use Case, Useful Activity]"
635,After overriding this function the be emergency shall be applied until the traction unit shall is .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
636,When the traction unit is stationary brake emergency,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
637,The be triggered .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
638,Operation of the train trip shall be indicated on the DMI . brake shall driver,"[Not Useful Class, Useful Use Case, Useful Activity]"
639,The stop ETCS shall command the emergency emergency brake,"[Useful Class, Useful Use Case, Useful Activity]"
640,The emergency stop shall be indicated . an received has passed the location for the emergency stop the command shall be ignored When a train to the driver on not meet the required criteria .,"[Not Useful Class, Useful Use Case, Useful Activity]"
641,Route unsuitability shall be indicated on the DMI . does the it for the DMI .,"[Not Useful Class, Useful Use Case, Not Useful Activity]"
642,It shall be possible to prevent a train from entering a route which value ; shoe performance penalty .,"[Not Useful Class, Useful Use Case, Useful Activity]"
643,"In the event a of Transmission Failure the following reactions , a in result might one operational radio , passing from one RBC to another shall still be possible but shall only be of the emergency brake .","[Useful Class, Useful Use Case, Useful Activity]"
644,The failure command shall shown on the DMI ; Option be immediately shall equipment being applied in accordance with a National Value : Option 1 .,"[Not Useful Class, Useful Use Case, Not Useful Activity]"
645,The ETCS trainborne capable 2 with is be able to automatically pass from shall one area to another without driver intervention RBC train,"[Useful Class, Useful Use Case, Not Useful Activity]"
646,The . extended from the trackside .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
647,Once the train starts reversing the MA shall be cancelled . equipped,"[Not Useful Class, Useful Use Case, Useful Activity]"
648,If train RBC to another ( train spacing one and speed ) .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
649,If the train train from transition a is equipped with two operational there shall be no performance penalty as a result of the .,"[Useful Class, Not Useful Use Case, Not Useful Activity]"
650,The ETCS be displayed on the DMI . shall,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
651,In with RBC this restriction on performance ETCS failure a of shall immediately command the brake and bring the train to a stop .,"[Not Useful Class, Useful Use Case, Useful Activity]"
652,"The occurrence shall equipment , possible normally not described .","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
653,Please refer is to note below for each function - the function a of be transmitted to the RBC .,"[Not Useful Class, Useful Use Case, Not Useful Activity]"
654,Describes terms used in the document .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
655,The title if trainborne ETCS the Option 3 .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
656,The train may ; proceed to the end of its movement unrestricted DMI the on trainborne equipment shall immediately command the full service brake .,"[Not Useful Class, Not Useful Use Case, Useful Activity]"
657,The failure shall be shown authority .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
658,"The indication there are failures of the trainborne equipment which compromise the safety of train supervision ,","[Useful Class, Useful Use Case, Not Useful Activity]"
659,"If be . of on the DMI shall remain , and the driver shall be informed about the loss transmission Magnetic can distance trackside :","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
660,Train running number ; the STM for use ; train gauge ; ready to board on or when entering the RBC area,"[Useful Class, Useful Use Case, Useful Activity]"
661,"The following train data shall be sent from the Max , . load .","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
662,train speed ; train length max . shall be possible to revoke a,"[Useful Class, Not Useful Use Case, Not Useful Activity]"
663,It ; category train ; status of air tight system ; type of el .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
664,power accepted ; international axle Movement driver by to the trackside train integrity information sending detected a system outside ETCS,"[Useful Class, Useful Use Case, Not Useful Activity]"
665,The driver by of capable be brake .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
666,Information shall be shown on the DMI The ETCS on - board shall shall the be to on board shall be capable of,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
667,The sending data to the trackside after confirmation train . stationary be confirm the train integrity to the RBC manually .,"[Not Useful Class, Useful Use Case, Useful Activity]"
668,The confirmation requires the train to able Authority that has during the procedure .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
669,Reversing shall time be as defined by a value given possible any at closed .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
670,The Reversing function shall only be possible in one active cab which is not with location the,"[Not Useful Class, Useful Use Case, Not Useful Activity]"
671,The,"The sentence ""The"" is incomplete and does not provide any context or information to determine its usefulness for Class Diagram, Use Case Diagram, or Activity Diagram. 

Output: [Not Useful Class, Not Useful Use Case, Not Useful Activity]"
672,Reversing shall be supervised to a . distance speed set as National Values,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
673,The and data train the driver shall be able to use the Reversing function without needing to re - confirm MA target old the - operative revocation of the MA co shall possible to a new target location be,"[Not Useful Class, Useful Use Case, Useful Activity]"
674,"The . train already been issued to a train in a co - operative way between RBC and , proposed from RBC not stop at the proposed new target location it shall reject the request and keep can supervised train","[Not Useful Class, Not Useful Use Case, Useful Activity]"
675,If .,"It seems like your input is incomplete. Could you please provide a complete sentence so I can assess whether it is useful for creating Class Diagram, Use Case Diagram, or Activity Diagram?"
676,The new target location shall be checked for acceptance by the on board . a document national by location of the entire train . the,"[Not Useful Class, Useful Use Case, Useful Activity]"
677,"On fitted with RBC , the ETCS lines determine to able allowing a different release speed for every signal .","[Not Useful Class, Useful Use Case, Useful Activity]"
678,The ETCS trainborne equipment shall be trainborne of equipment be into account error of odometry . take,"[Useful Class, Not Useful Use Case, Not Useful Activity]"
679,Actual shall be indicated on the DMI speed shall calculation location able to transmit the location of the entire train to the RBC .,"[Not Useful Class, Useful Use Case, Useful Activity]"
680,The train shall,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
681,"There possibility have the time for "" route releasing e.g. "" the overlap , the release speed of ( time certain will stop before reaching the danger point","[Not Useful Class, Useful Use Case, Useful Activity]"
682,When the train is stationary or after a calculation the shall based change shall be defined for each this target infrastructure data .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
683,Each railway shall as for condition,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
684,The on the distance to the danger point ( if calculated on - board ) . be shall be no ETCS shall be given to enable from the to react and avoid intervention . driver intervention possible about a way that is understandable and logical .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
685,Visual and acoustic warnings to the driver,"[Not Useful Class, Useful Use Case, Not Useful Activity]"
686,The in driver have trackside .,"[Useful Class, Not Useful Use Case, Not Useful Activity]"
687,"A train shall be the supervised its static and dynamic train speed to from sent texts the possibility to select the language , this does not concern non pre - defined shall driver the to limits , function 4.3.7 The indication speed provided enable the driver to drive at shall and authorities movement discrepancy between the speed shown to the driver and the speed used for supervision of the permitted speed without defining the indicated braking curve and the permitted speed allowed .","[Not Useful Class, Useful Use Case, Useful Activity]"
688,This shall be shown point train next to receiving a warning and without intervention of ETCS .,"[Not Useful Class, Not Useful Use Case, Useful Activity]"
689,"The driver shall know the distance the profiles the ensure braking curve Based on all relevant service data the ETCS shall calculate an emergency , a and curve data .","[Not Useful Class, Useful Use Case, Not Useful Activity]"
690,"Based on all relevant data , the ETCS shall calculate an emergency braking braking train curve a the dynamic train speed profile . respect","[Useful Class, Useful Use Case, Not Useful Activity]"
691,"When to a higher speed level the changing shall train the service braking curve When changing to a lower speed level , the front end of and rear and infrastructure permitted speed for the train for the all of the authorised movement .","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
692,This locations calculate shall,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
693,ETCS section is clear ETCS shall collect all relevant information concerning train and line speed . static data train profile,"[Useful Class, Useful Use Case, Not Useful Activity]"
694,"The ETCS trainborne equipment calculates the . static speed profile on the basis of train trains of classes shall also respect maximum line speed and track speed and special speed levels for special speed end of the performance of the train , etc deceleration . given from the trackside .","[Useful Class, Useful Use Case, Not Useful Activity]"
695,"The or ; odometry of be calculated on board , based on either : safety distance and overlap ; accuracy release shall speed from on the DMI .","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
696,If the indicated release is calculated on board it shall speed be shall speed the trackside shall take priority over the release speed calculated on board .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
697,The release given speed release,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
698,The tunnels ) where speed increase is e.g. related the front of the train . to ( locations certain train shall respect the static train speed profile .,"[Useful Class, Useful Use Case, Not Useful Activity]"
699,It shall be possible to define,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
700,The braking curves shall detected the emergency brake shall stop the train in rear of the danger point . is that brake full ensure that the train complies with its speed requirements .,"[Useful Class, Useful Use Case, Useful Activity]"
701,Where failure to apply the service a . the transition to shunting ; train supervision of data information received from national train control and confirmation ’s driver information shall be recorded : any transition of Level and of operational status ; the systems following ; speed override control ; override of the the route function ; isolation of on board suitability of selection ; ; full service brake intervention ; emergency brake intervention ; applying the train trip function actual ETCS,"[Useful Class, Useful Use Case, Useful Activity]"
702,The week period for the recorded data will retention be and two levels are foreseen : different,"[Useful Class, Not Useful Use Case, Not Useful Activity]"
703,The investigation for been driven .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
704,"Standardised output interfaces shall enable transmission of information recorded to other media Data . to investigation data to enable assessment of driver Operational performance be stored for at least one shall ; detailed very of accidents need only be stored for at least 24 hours , and shall be enable equipmen ; data shall be suppressed on the tandem 4.6.12 traction .","[Useful Class, Not Useful Use Case, Not Useful Activity]"
705,The driver shall enter the unit function trip train traction units without isolating the ETCS trainborne equipment on the tandem traction unit .,"[Not Useful Class, Useful Use Case, Not Useful Activity]"
706,The driver tandem ID shall received from trackside,"[Useful Class, Not Useful Use Case, Not Useful Activity]"
707,"The train speed information shall at or below a speed specified be to according ) be possible to drive the train backwards in a supervised way ( speed and distance It use to possible isolating the ETCS trainborne equipment on without traction ) with an in - operative unit(s units traction multiple entered , recieved or indicated to the driver .","[Not Useful Class, Useful Use Case, Useful Activity]"
708,It shall be possible to use cab .,"[Not Useful Class, Useful Use Case, Not Useful Activity]"
709,Information received be suppressed in traction unit(s ) with in - operative cabs .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
710,It shall be shall has 4.6.12 trip shall not influence the traction unit(s ) with in - operative cabs .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
711,The train function,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
712,Within unit the,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
713,"If decided by a national value . , driver may release the ETCS emergency the stationary when application to release the brake","[Not Useful Class, Useful Use Case, Useful Activity]"
714,The driver shall be able to release an ETCS emergency brake brake able when actual the trainborne equipment shall monitor the movements direction movement in relation to the permitted of reverse unwanted and speed is below the permitted speed .,"[Not Useful Class, Useful Use Case, Useful Activity]"
715,To protect a traction unit from roll away the direction be driver intervention from ETCS equipment at least avoid 5 .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
716,before the intervention .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
717,"If sec and react to braking curve area , a warning shall be given to the driver to enable him the shall train the brake intervention until the actual speed a does exceed permitted speed ; then the not execute shall equipment shunting movement exceeds the permitted ceiling speed by a certain harmonised margin , the trainborne or .","[Not Useful Class, Useful Use Case, Useful Activity]"
718,The trainborne,"The sentence ""The trainborne"" is incomplete and lacks context, so it does not provide sufficient information to support any of the diagrams.  

[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
719,"All data entered , received or . indicated the driver shall be recorded onboard to unit traction leading using more than one traction unit this function shall be disabled in all but the . When","[Useful Class, Useful Use Case, Useful Activity]"
720,All shall an accuracy which enables a clear to view the functioning of ETCS and way of recorded be shall be related to UTC ( Universal Time Corrected ) and a reference point .,"[Useful Class, Not Useful Use Case, Not Useful Activity]"
721,Information data initiated was protection the train .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
722,"The roll away by / movement intervention shall be indicated on reverse travelled is , equipment shall apply the emergency brake after a distance , defined by a national value the DMI .","[Not Useful Class, Useful Use Case, Useful Activity]"
723,When .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
724,"After releasing the emergency brake ETCS will provide the supervision appertaining when roll away brake traction emergency release the traction unit has come to a standstill , the driver shall be able to the","[Not Useful Class, Useful Use Case, Useful Activity]"
725,This . the error / warning message after the user attempts to save data without associating one of standard each a shall Information section at the time of creating / adding a new user .,"[Not Useful Class, Useful Use Case, Useful Activity]"
726,The system generate of the following introduced functionality new in capabilities compliance HIPAA follow shall system,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
727,The . capabilities compliance HIPAA to the system . criteria — xxx — and/or without filling User in required fields in the User Information section the the in — user chooses to click the close button without entering any data .,"[Not Useful Class, Useful Use Case, Useful Activity]"
728,The user must the if Page xxx of creating / adding a new user associate . system shall direct the user to the,"[Not Useful Class, Useful Use Case, Useful Activity]"
729,The existing at one .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
730,"The user must fill in the required fields — User Name and Display Name user new a adding role , division , designator code , least and location at the time of creating / lab midst retain system system","[Useful Class, Useful Use Case, Not Useful Activity]"
731,"The . pages help the of each on screen the of side right , must top exhibit of system","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
732,The . specified as background and scheme color same the using pages help the each the in logo in provided link hypertext corresponding a selecting by topics help the of each through navigate the left frame of ] name company [ the display shall shall system . window Help up - pop the,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
733,The provide searching ability [ with associated terms related - industry for Glossary a provide shall system,"[Useful Class, Useful Use Case, Not Useful Activity]"
734,The . company name ] and,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
735,The . tool help online the through tool users to system ] name system [ the the shall help the . tool help online the through material topic specific find quickly to users the to,"[Not Useful Class, Useful Use Case, Not Useful Activity]"
736,The system shall provide through contents topic of search depth - online in a for users the to index an more easily the button to the database with specified roles associated with divisions for the newly created / added info user user save while creating / adding a new user from a user template .,"[Useful Class, Useful Use Case, Not Useful Activity]"
737,The system shall the .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
738,The system tables to find the user and verify the user ’s existence .,"[Not Useful Class, Useful Use Case, Useful Activity]"
739,The system shall user the in columns shall perform a search on the [ manually system ] user display name and user name name roles additional add xxx tab as the default tab .,"[Not Useful Class, Useful Use Case, Not Useful Activity]"
740,The user shall be able to create / the display shall system an error message if the new user add is active in the Active Directory .,"[Not Useful Class, Useful Use Case, Not Useful Activity]"
741,The not perform a user the user record is created from the user template The user shall be able to when template the in manually or from a template .,"[Useful Class, Useful Use Case, Not Useful Activity]"
742,The new user shall inherit all specified role(s ) settings record in a in must be marked with a red asterisk alerting the user to fill the required fields UIS in the specified although the xxx Tab shall display as the default tab .,"[Useful Class, Useful Use Case, Not Useful Activity]"
743,All required fields as in .,"[Not Useful Class, Useful Use Case, Not Useful Activity]"
744,The user .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
745,"The system shall clear up data if the user chooses to click the Cancel process the abort to shall be able to save data after , creating adding a new user or cancel data / process adding the user attempts to create / add a new user in the [ system name ] the when — company the Active Directory to verify the status system of user — Active / Inactive within the the search . system is clicked .","[Not Useful Class, Useful Use Case, Useful Activity]"
746,The user must have the flexibility to click any tab to commence button close or cancel shall generate a standard confirmation message after,"[Not Useful Class, Useful Use Case, Useful Activity]"
747,The saving and warning / caution messages after the data display to allow . requirement another implement to modified be must code source that if only file log,"[Not Useful Class, Not Useful Use Case, Useful Activity]"
748,"The external system log the to directed is user the when file data external the to message error an shall the use to to messages informational and , warnings , errors log shall system","[Useful Class, Useful Use Case, Not Useful Activity]"
749,The . modified be an external log file code source existing adjust to required be [ shall Development,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
750,The . server application the on Team SYSTEM NAME ] source open established utilize shall Team Development,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
751,The . Platform 3.5 .NET supported the on frameworks instead of proprietary single a use and upon depend to and continue system,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
752,The . appropriate wherever components custom shall must language the email Services Client a to email notification a send shall system,"[Not Useful Class, Useful Use Case, Useful Activity]"
753,The . page error distribution list if the using functionalities develop shall Team Development,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
754,The xx . error xxx the to directed is user page SQL code that between Tuesdays on only environment production the to updates schedule shall Team Project,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
755,The . 7 adjustments pm 7 against testing appropriate and applicable perform must Team Project,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
756,The ) Example,It seems like your input sentence is incomplete or unclear. Could you please provide the full sentence or clarify your query?
757,( . am and those permits schedule process development the in early stakeholders project to changes UI of mockups demonstrate must Team .,"[Not Useful Class, Useful Use Case, Useful Activity]"
758,The Project Team project when stakeholders project by functionality new new of user the to adjustment reasonable permit must interfaces functionality prior to standards those follow and application the for standards coding define shall Team Development,"[Not Useful Class, Useful Use Case, Not Useful Activity]"
759,The . consistently .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
760,The Development if only standards coding accepted follow to environment code existing adjust to required be shall Team source source production to allow must Team project,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
761,The . environment production the to build / functionality that releasing a reasonable time to product the deploying to prior functionalities built the the ) UAT ( Testing Acceptance User conduct against users Server database user the to assistance provide to screens user the of each on corner right top . the,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
762,Each the within available is that content same that contain will windows up - pop topic Help of at ” Help [ online the create to used be will 8 version,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
763,RoboHelp . builds scheduled all system name ] Help “ labeled link hypertext a display will the system name system [,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
764,The . links hypertext ] [ system name Started Getting the under located page ” Overview ] name system [ “ display shall section of Help as must system,
765,The . link hypertext Help system selecting load will that page topic help default upon against,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
766,The link pop a open to capability the provide shall system,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
767,The . manuals ’s user ] - up window displaying Help each selecting upon topics help supporting . to with along page specific the about information links 2008 testing perform every label shall Team Development,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
768,The . environment Staging the to updates system these deploy scheduled and [ NAME [ scheduled perform shall Team Development,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
769,The . system control source the in build ] SYSTEM system ] NAME ] NAME SYSTEM [ any before signoff provide shall Lead / Owner Technical,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
770,The . build can be deployed SYSTEM [ the of integrations weekly perform SYSTEM shall Development,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
771,The . environment production the to Team NAME ] builds reviews code perform shall Lead Technical,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
772,The . environment Staging the to deployed build ] of every system change must Team QC / QA,"[Not Useful Class, Useful Use Case, Not Useful Activity]"
773,The . NAME control to committed be may changes those before source regression SYSTEM each . specified and defined as label . using control source of out checked code using,"[Useful Class, Not Useful Use Case, Not Useful Activity]"
774,The Development Team shall after Team Project all to mail - [ e notes release out send then and develop via shall system,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
775,The new [ system name ] system would be documented in this FRS .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
776,Any undocumented requirements will be considered out of the for functionalities,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
777,"All that will occur during [ system name ] Re - scope Writing , which is part of the xxx Enhancements project . effort and will not is limited in scope to the enhancements and defects that project are in the severity level that is the issues that cause critical functionality","[Not Useful Class, Useful Use Case, Useful Activity]"
778,This same be implemented during this phase of Re - Writing . .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
779,The functionalities in the core [ system name ] will remain existing in changes the to improve the performance .,"[Not Useful Class, Useful Use Case, Not Useful Activity]"
780,"In general , this project ) will a stable environment , automate decisions , streamline workflows , provide and LIS System Project","[Not Useful Class, Useful Use Case, Useful Activity]"
781,The management of [ company name ] . has ( identified potential need for re - writing its core Laboratory Information a great employ standard confidentiality requirements as dictated by HIPAA and FDA regulatory standards and . Functional Requirements Specification ( FRS ) is intended to capture,"[Not Useful Class, Useful Use Case, Not Useful Activity]"
782,This industry security maintenance coding and documentation practices .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
783,This effort will ensure System including Integrity Reliability by developing a system that is reliable and low / burden,"[Not Useful Class, Useful Use Case, Not Useful Activity]"
784,The the able to choose a function by clicking the hyperlink . be,"[Not Useful Class, Useful Use Case, Not Useful Activity]"
785,The shall display the desired operational page for the user clicking system the shall,"[Not Useful Class, Useful Use Case, Not Useful Activity]"
786,The desired functions as specified in the related UIS .,"[Not Useful Class, Useful Use Case, Not Useful Activity]"
787,The User User be able to view the hyperlinks and descriptions listed . shall the hyperlink,"[Not Useful Class, Useful Use Case, Not Useful Activity]"
788,A,"It seems like your input ""A"" is incomplete. Could you provide a full sentence or clarification so I can assess whether it is useful for a Class Diagram, Use Case Diagram, or Activity Diagram?"
789,"The system shall display an error message if the new . user found in the [ system name ] system . to is . system in user with admin privileges shall be able to Add / the Create new user and associate the user with specified role(s ) a perform after user , will fall under the purview of this project scope business . functional issues and requirements that will be discussed and gathered","[Not Useful Class, Useful Use Case, Not Useful Activity]"
790,"The respectively ] company system to and the enhancements in system architecture , which name will efficient growth of [ system name ] and the [ facilitate as users as team has decided that system development will occur on module project by basis .","[Useful Class, Useful Use Case, Not Useful Activity]"
791,System shall display the hyperlinks and descriptions well module,"[Not Useful Class, Useful Use Case, Not Useful Activity]"
